;date;c_1;c_2;flow_pred;flow_true
226;2019-03-01;DE;CZ;0.3085333255;0.3087114485000025
66;2019-03-01;RO;HU;0.0;0.0
54;2019-03-01;BE;FR;0.14330265233300002;0.14330265233333447
261;2019-03-01;DE;FR;0.035627298833;0.03562729883333362
266;2019-03-01;DE;DK;0.0;0.0
320;2019-03-01;BE;NL;0.053317935427;0.10713558683333417
22;2019-03-01;DK;SE;0.01453791347;0.009578159500000077
305;2019-03-01;SI;HR;0.0022794238379999997;0.000510079500000004
296;2019-03-01;RU;RO;0.08392524233;0.083995789833334
27;2019-03-01;NO;UK;0.280322420667;0.2803224206666689
292;2019-03-01;DE;PL;0.005278918;0.005278918000000042
291;2019-03-01;UK;UK;0.0;0.0
290;2019-03-01;AT;SK;0.027150263332999997;0.02715026333333355
286;2019-03-01;CZ;DE;0.213232122833;0.213232122833335
31;2019-03-01;CZ;SK;0.013888196333000001;0.013888196333333444
32;2019-03-01;AT;DE;0.012457814667;0.012457814666666766
33;2019-03-01;RU;HU;0.110231148667;0.11023114866666754
313;2019-03-01;DE;BE;0.029660178332999998;0.02966017833333357
280;2019-03-01;CH;IT;0.09326358350000001;0.09326358350000075
277;2019-03-01;BE;LU;0.0086551585;0.008655158500000069
315;2019-03-01;HR;SI;0.0;0.0
316;2019-03-01;DK;DE;0.001808218333;0.001808218333333348
273;2019-03-01;EL;BG;0.0;0.0
271;2019-03-01;LV;EE;0.006780548867;0.00496315450000004
270;2019-03-01;ES;FR;0.0;0.0
317;2019-03-01;PL;PL;0.0;0.0
39;2019-03-01;RU;TR;0.113118900333;0.11311890033333424
10;2019-03-01;UK;BE;0.001354814333;0.0013548143333333442
303;2019-03-01;CH;FR;0.0;0.0
322;2019-03-01;BG;TR;0.031449504833;0.03144950483333358
223;2019-03-01;PL;DE;0.2441337645;0.24413376450000196
235;2019-03-01;NO;FR;0.17167818599999998;0.17527033316666807
173;2019-03-01;NO;NL;0.21674298114;0.41763096416666995
104;2019-03-01;TR;EL;0.0;0.0
74;2019-03-01;AT;HU;0.04095112542;0.04431484333333369
118;2019-03-01;RU;DE;0.528766222;0.5287662220000042
86;2019-03-01;DZ;ES;0.067551798333;0.06755179833333386
203;2019-03-01;RU;EE;0.000550562;0.0005505620000000043
116;2019-03-01;IT;AT;0.0;0.0
110;2019-03-01;RO;BG;0.077131523157;0.0012117761666666762
76;2019-03-01;BE;DE;0.0042074811670000005;0.0042074811666667
114;2019-03-01;BG;MK;0.0012117761670000001;0.0012117761666666762
161;2019-03-01;SK;CZ;0.004455838605;0.0056675500000000455
78;2019-03-01;HU;RO;0.011899156167000002;0.011899156166666763
198;2019-03-01;RU;SK;0.501767093333;0.5017670933333374
160;2019-03-01;FR;BE;0.001932364667;0.0019323646666666817
159;2019-03-01;UK;IE;0.025857522167;0.02585752216666687
105;2019-03-01;DZ;IT;0.050384519499999995;0.050384519500000405
181;2019-03-01;RU;LT;0.045777610999999996;0.045777611000000364
193;2019-03-01;BG;EL;0.019642109;0.019642109000000157
143;2019-03-01;RU;PL;0.351427805236;0.3646501670000029
212;2019-03-01;SK;AT;0.427176737667;0.4271767376666701
136;2019-03-01;NL;DE;0.2538333715;0.253833371500002
179;2019-03-01;SI;IT;0.0;0.0
132;2019-03-01;NO;BE;0.142501098833;0.14250109883333445
96;2019-03-01;LY;IT;0.049253708333;0.04925370833333372
140;2019-03-01;FR;ES;0.059825038500000004;0.059825038500000476
98;2019-03-01;RU;FI;0.027857357667;0.02568749566666687
69;2019-03-01;DE;LU;0.00033465533299999997;0.0003319565000000026
216;2019-03-01;BE;UK;5.3976667000000004e-05;5.397666666666709e-05
214;2019-03-01;SE;DK;0.0;0.0
215;2019-03-01;AZ;TR;0.0798719725;0.07987197250000062
176;2019-03-01;NO;DK;0.002410058167;0.002410058166666686
293;2019-04-01;NO;NL;0.0;0.3353246440000026
288;2019-04-01;RO;HU;0.0;0.0
23;2019-04-01;UK;UK;0.0;0.0
168;2019-04-01;RU;EE;0.003468000833;0.0027663041666666885
29;2019-04-01;HR;SI;0.0;0.0
164;2019-04-01;AT;DE;0.0;0.01937222566666682
101;2019-04-01;ES;FR;0.0654067656;1.8891833333333487e-05
102;2019-04-01;HU;HU;0.0;0.0
300;2019-04-01;IT;SI;0.0;0.0
28;2019-04-01;NO;BE;0.0;0.1375109560000011
221;2019-04-01;BE;FR;0.0;0.14709721200000117
306;2019-04-01;BE;UK;0.0;0.0
3;2019-04-01;HU;HR;0.0018315470490000002;0.014821992666666783
4;2019-04-01;EL;BG;0.00485401368;0.0025449998333333538
329;2019-04-01;CH;FR;0.0;0.0
130;2019-04-01;AT;IT;0.0;0.30467129500000245
129;2019-04-01;RU;TR;0.0;0.11575835933333424
125;2019-04-01;NO;FR;0.0;0.17284138316666806
142;2019-04-01;DZ;ES;0.0;0.08543156916666735
124;2019-04-01;BG;EL;0.0;0.025498577333333536
8;2019-04-01;AZ;TR;0.0;0.07493580633333392
156;2019-04-01;FR;ES;0.0;0.042344695000000335
145;2019-04-01;DE;BE;0.0;0.0026637485000000206
123;2019-04-01;CZ;DE;0.004350045418;0.22776534033333515
148;2019-04-01;BE;NL;0.0;0.10320878433333415
120;2019-04-01;CZ;PL;0.008161272;0.005038721833333373
314;2019-04-01;RU;DE;0.0;0.536657610666671
14;2019-04-01;SK;CZ;0.02166817716;0.01511616550000012
311;2019-04-01;UK;BE;0.0;0.05860246700000047
287;2019-04-01;PT;ES;0.0;0.002080800500000017
308;2019-04-01;SE;DK;0.0;0.0
307;2019-04-01;SI;IT;0.0062375436;0.0
146;2019-04-01;DE;AT;0.0;0.11521589383333423
15;2019-04-01;RU;PL;0.090939888;0.3171264108333359
278;2019-04-01;NL;BE;0.027872881356;0.10175681200000081
30;2019-04-01;NO;DE;0.1232060598;0.24776909300000197
249;2019-04-01;NL;DE;0.09236956797000001;0.2048468476666683
247;2019-04-01;RU;SK;0.0;0.5493232355000045
75;2019-04-01;RO;BG;0.131606642749;0.0007772640000000061
205;2019-04-01;HU;RS;0.0;0.01219602783333343
243;2019-04-01;LY;IT;0.14544552600000002;0.0511051080000004
73;2019-04-01;LT;LV;0.0;0.00025369033333333537
71;2019-04-01;DE;DK;0.0;0.0005991410000000047
57;2019-04-01;DK;DE;0.002460720666;0.0014735630000000117
210;2019-04-01;BG;TR;0.10786351616;0.03896035800000031
70;2019-04-01;DK;SE;0.011591489166999999;0.007103329333333391
237;2019-04-01;DE;NL;0.0125042346;0.2170563696666684
133;2019-04-01;RU;LT;0.006296378167000001;0.023012951833333514
234;2019-04-01;CH;IT;0.0;0.13429124783333443
60;2019-04-01;NO;DK;0.0;0.0017137591666666803
63;2019-04-01;PL;DE;0.0;0.2154370696666684
230;2019-04-01;NO;UK;0.0;0.20961568616666834
227;2019-04-01;DE;DE;0.0;0.0
217;2019-04-01;UK;IE;0.0;0.026467458500000207
218;2019-04-01;RU;HU;0.0;0.16002732250000126
219;2019-04-01;RU;RO;0.0;0.09411371600000075
68;2019-04-01;PL;PL;0.0;0.0
50;2019-04-01;RU;FI;0.022098047332999998;0.018875640333333485
285;2019-04-01;DE;PL;0.0;0.006612141666666719
201;2019-04-01;IR;TR;0.0;0.06624286416666719
49;2019-04-01;SI;HR;0.015652153800000002;0.0005154771666666708
175;2019-04-01;CZ;SK;0.0;0.014724834666666783
178;2019-04-01;BE;DE;0.004540053001;0.02214932516666684
279;2019-04-01;AT;SK;0.0;0.02370655200000019
220;2019-04-01;AT;HU;0.0;0.044358024666667016
35;2019-04-01;LV;EE;0.0;0.000920302166666674
180;2019-04-01;DZ;IT;0.33528254220000003;0.07465242883333392
93;2019-04-01;IT;AT;0.056341924200000004;0.0
272;2019-04-01;DE;LU;0.007000773667;0.00010525450000000084
183;2019-04-01;DE;FR;0.0;0.027109780833333548
91;2019-04-01;LV;LT;0.000514721493;0.0
188;2019-04-01;HU;RO;0.0;0.012015206000000094
189;2019-04-01;ES;PT;0.004069516807;0.012266197500000096
190;2019-04-01;SK;HU;0.0;0.007988546666666731
191;2019-04-01;DE;CZ;0.0;0.31625198883333583
46;2019-04-01;AT;SI;0.0;0.012498297166666764
263;2019-04-01;BE;LU;0.0;0.006895519166666722
262;2019-04-01;CH;DE;0.0;0.0
81;2019-04-01;FR;BE;0.050649447775;2.698833333333355e-06
80;2019-04-01;SK;AT;0.040310854199999996;0.4351922726666701
48;2019-04-01;TR;EL;0.01416272166;0.00889805350000007
255;2019-04-01;EE;LV;0.0;0.0
253;2019-04-01;BG;MK;0.000777264;0.0007772640000000061
135;2019-04-01;BG;RO;0.0;0.0
